Education,Marital_Status,Income,Kids,Expense,TotalAcceptedCmp,NumTotalPurchases,Age,engagement_days
PG,Single,58138.0,0,1617,0,25,67,849
PG,Single,46344.0,2,27,0,6,70,299
PG,Couple,71613.0,0,776,0,21,59,498
PG,Couple,26646.0,1,53,0,8,40,325
PG,Couple,58293.0,1,422,0,19,43,347
PG,Couple,62513.0,1,716,0,22,57,479
PG,Single,55635.0,1,590,0,21,53,779
PG,Couple,33454.0,1,169,0,10,39,603
PG,Couple,30351.0,1,46,0,6,50,574
PG,Couple,5648.0,2,49,1,2,74,294
PG,Couple,52720.37365591398,1,19,0,4,41,412
UG,Couple,7500.0,0,61,0,6,48,779
PG,Single,63033.0,0,1102,0,16,65,412
PG,Single,59354.0,2,310,0,15,72,412
PG,Couple,17323.0,0,46,0,5,37,813
PG,Single,82800.0,0,1315,2,26,78,768
PG,Couple,41850.0,2,96,0,9,44,738
PG,Couple,37760.0,0,317,0,13,78,853
PG,Couple,76995.0,1,1782,1,26,75,644
PG,Single,33812.0,1,133,0,8,39,789
PG,Couple,37040.0,0,316,0,12,42,876
PG,Couple,2447.0,1,1730,0,43,45,725
PG,Couple,58607.0,1,972,1,17,75,739
PG,Couple,65324.0,1,544,0,20,70,355
PG,Couple,40689.0,1,444,0,20,73,654
PG,Single,18589.0,0,75,0,8,55,729
PG,Couple,53359.0,2,257,0,14,48,584
PG,Single,52720.37365591398,1,637,0,27,38,680
PG,Couple,38360.0,1,131,0,9,35,580
PG,Couple,84618.0,0,1672,1,26,59,405
PG,Single,10979.0,0,30,0,8,35,224
PG,Couple,38620.0,0,318,0,11,61,600
PG,Couple,40548.0,1,120,1,9,54,813
PG,Single,46610.0,2,302,0,17,72,794
PG,Couple,68657.0,0,1196,0,18,78,680
PG,Single,49389.0,2,65,0,6,73,490
PG,Couple,67353.0,1,913,0,28,54,366
PG,Couple,23718.0,1,81,0,9,48,486
PG,Single,42429.0,1,67,0,7,51,324
PG,Single,48948.0,0,902,1,24,81,699
PG,Couple,80011.0,1,1395,0,21,44,612
PG,Couple,20559.0,1,53,0,7,39,660
PG,Couple,21994.0,1,22,0,4,67,738
PG,Single,56145.31392931393,0,186,0,9,65,422
PG,Couple,7500.0,1,31,0,8,49,456
PG,Single,79941.0,0,984,0,16,48,187
PG,Couple,7500.0,0,122,0,10,28,783
PG,Couple,41728.0,1,55,0,5,56,587
PG,Single,52720.37365591398,3,124,0,10,73,365
PG,Couple,72550.0,2,1319,0,28,70,784
PG,Single,65486.0,1,507,0,17,67,234
PG,Couple,79143.0,0,1693,0,29,60,873
PG,Single,35790.0,1,72,0,7,47,729
PG,Single,82582.0,0,1617,2,21,47,208
PG,Couple,66373.0,2,606,0,23,46,568
PG,Couple,82384.0,0,1957,1,27,69,773
PG,Single,70287.0,0,1093,0,21,58,639
PG,Single,27938.0,1,29,0,6,36,248
PG,Single,52720.37365591398,1,46,0,7,42,563
PG,Couple,55954.0,1,518,0,19,56,304
PG,Single,75777.0,0,1438,2,21,42,546
PG,Couple,66653.0,2,612,0,22,49,846
